crop,region,soil_type,season,year,avg_temperature,avg_rainfall,humidity,sunlight_hours,soil_ph,nitrogen_content,phosphorus_content,potassium_content,organic_matter,farm_area_ha,irrigation_type,fertilizer_kg_ha,pesticide_l_ha,yield_per_ha,total_yield_tons
Rice,North,Loamy,Kharif,2018,28.97,151.67,69.93,5.25,5.97,117.43,70.63,200.28,3.69,0.6,Sprinkler,292.48,8.32,2.72,1.64
Rice,Central,Clay,Zaid,2021,23.89,40.07,49.17,6.43,7.07,229.58,30.39,202.96,1.13,2.23,Drip,141.59,4.56,1.19,2.65
Wheat,North,Sandy,Kharif,2023,25.54,109.75,42.32,8.86,6.01,119.52,76.42,291.41,4.14,2.32,Drip,74.42,6.84,2.77,6.41
Soybean,Central,Silt,Kharif,2022,13.6,33.02,64.76,4.28,8.23,177.63,56.38,127.93,2.84,4.46,Flood,96.21,9.7,0.5,2.23
Wheat,South,Silt,Rabi,2019,30.91,29.27,49.8,4.36,6.48,216.6,28.99,257.18,2.11,2.15,Sprinkler,185.67,1.41,0.72,1.55
Soybean,East,Clay,Kharif,2021,26.37,27.75,89.34,10.18,6.1,101.66,67.08,226.71,3.78,7.88,Drip,68.51,3.58,0.5,3.94
Sugarcane,East,Peat,Rabi,2015,27.65,60.18,43.18,6.49,6.48,318.88,54.63,271.8,2.62,1.14,Rainfed,228.31,7.61,21.62,24.57
Rice,West,Clay,Zaid,2019,32.8,167.39,64.69,8.18,6.78,107.63,17.55,57.86,3.36,2.39,Flood,177.14,9.08,1.11,2.65
Soybean,North,Clay,Zaid,2018,36.82,45.98,43.85,6.32,5.98,378.91,66.57,208.35,4.42,8.64,Flood,96.64,8.93,0.56,4.85
Rice,South,Clay,Rabi,2019,20.85,184.73,84.8,6.54,5.83,168.38,39.9,254.5,4.37,0.53,Rainfed,177.69,4.17,2.32,1.24
Sugarcane,South,Loamy,Rabi,2018,22.26,306.31,56.16,8.15,7.61,209.09,78.02,290.61,1.63,3.94,Flood,125.22,2.85,39.88,157.07
Rice,Central,Sandy,Zaid,2018,18.58,114.05,65.13,4.41,6.34,372.48,26.77,86.22,2.7,21.72,Sprinkler,110.51,6.72,3.0,65.23
Tomato,West,Loamy,Zaid,2023,31.33,65.85,71.62,9.07,7.11,127.09,68.47,130.2,1.34,0.71,Sprinkler,197.72,6.78,6.62,4.69
Sugarcane,North,Sandy,Kharif,2020,17.72,91.76,51.32,9.16,6.02,307.28,37.07,284.18,1.12,2.59,Rainfed,78.37,9.25,31.03,80.24
Cotton,North,Sandy,Zaid,2020,31.51,189.95,67.76,8.24,6.23,127.93,72.81,275.1,3.35,2.57,Sprinkler,137.3,7.26,1.98,5.09
Tomato,West,Silt,Kharif,2019,15.15,238.11,78.99,9.14,5.75,148.49,72.9,201.61,0.54,1.03,Sprinkler,215.88,0.05,17.21,17.81
Soybean,Central,Peat,Rabi,2024,39.93,125.54,51.21,9.7,6.21,197.62,62.25,212.41,4.32,5.86,Rainfed,192.08,0.94,1.03,6.06
Potato,East,Sandy,Kharif,2023,28.79,50.82,52.2,11.78,6.68,367.61,54.18,248.7,2.76,4.8,Rainfed,173.13,1.95,6.56,31.49
Rice,North,Clay,Kharif,2017,16.43,302.11,87.7,11.32,6.61,104.64,74.98,157.05,4.85,17.07,Rainfed,263.25,2.94,1.36,23.16
Rice,West,Silt,Zaid,2022,28.86,210.47,55.85,5.36,7.17,380.85,58.72,192.52,0.94,5.27,Flood,297.51,1.4,3.39,17.88
Wheat,North,Peat,Rabi,2020,27.86,139.41,75.12,6.88,6.38,342.81,66.71,266.77,4.61,4.08,Drip,175.38,7.98,3.8,15.5
Cotton,West,Sandy,Rabi,2015,29.49,141.06,79.79,11.12,6.51,212.67,16.58,194.57,0.66,3.63,Flood,185.66,2.87,1.49,5.41
Maize,Central,Clay,Zaid,2019,21.22,33.59,66.11,10.16,6.15,286.87,15.97,62.92,2.89,4.39,Sprinkler,209.36,7.26,1.01,4.43
Maize,East,Sandy,Zaid,2023,33.71,92.63,56.15,10.36,6.31,231.69,15.49,56.34,4.83,9.54,Drip,223.99,4.09,1.81,17.25
Sugarcane,West,Clay,Kharif,2020,21.2,99.68,75.73,9.28,6.34,386.46,61.65,188.59,3.25,3.22,Flood,111.93,3.56,45.57,146.73
Soybean,North,Sandy,Zaid,2016,19.77,21.45,45.8,4.37,5.62,356.64,59.26,168.54,0.94,3.88,Drip,168.37,1.73,0.5,1.94
Tomato,North,Peat,Kharif,2017,38.06,120.81,42.27,7.0,7.38,250.94,69.95,214.67,1.23,0.87,Rainfed,210.6,0.27,13.36,11.57
Maize,East,Peat,Zaid,2021,13.56,301.73,68.77,7.11,7.43,237.48,48.19,285.37,2.24,16.75,Sprinkler,276.34,1.96,2.94,49.15
Soybean,East,Silt,Zaid,2020,27.25,27.38,55.95,10.76,5.57,344.34,29.73,79.54,3.64,5.46,Rainfed,269.37,7.35,0.5,2.73
Tomato,North,Sandy,Kharif,2016,20.02,53.13,48.87,10.0,7.92,397.15,38.88,143.0,3.99,2.58,Flood,282.69,8.58,8.03,20.76
Wheat,Central,Peat,Kharif,2024,31.6,30.88,85.13,8.04,7.98,196.01,72.69,147.3,0.55,12.29,Sprinkler,72.82,3.19,0.55,6.8
Wheat,North,Clay,Kharif,2016,31.51,320.79,68.67,9.05,6.85,187.96,33.01,218.13,3.89,8.34,Drip,247.4,0.91,2.35,19.56
Sugarcane,North,Peat,Kharif,2019,25.61,78.26,84.39,6.81,5.85,142.9,63.31,204.55,0.96,0.94,Rainfed,225.24,0.73,24.31,22.84
Soybean,Central,Sandy,Zaid,2024,19.58,142.5,44.07,4.68,8.46,212.28,35.94,253.2,4.76,21.84,Rainfed,238.34,3.76,1.19,26.04
Soybean,West,Silt,Kharif,2016,27.49,75.2,85.32,4.89,6.98,103.41,42.81,64.08,1.03,1.13,Drip,212.3,7.46,0.59,0.66
Potato,East,Silt,Rabi,2022,36.8,347.47,58.74,6.29,8.11,167.08,77.43,53.04,4.86,0.72,Drip,272.79,5.28,9.27,6.68
Rice,North,Silt,Zaid,2020,25.78,368.36,66.15,9.04,7.59,236.36,53.93,196.08,4.56,0.73,Drip,120.24,9.5,3.04,2.22
Soybean,South,Sandy,Zaid,2022,18.82,80.82,71.01,6.22,6.06,239.11,34.73,195.91,0.85,18.82,Sprinkler,296.55,6.98,1.18,22.2
Potato,South,Loamy,Rabi,2018,32.6,135.43,48.13,11.29,7.97,384.94,60.8,203.35,2.38,14.0,Drip,266.52,0.45,16.81,235.29
Tomato,Central,Clay,Kharif,2023,20.38,67.23,80.53,11.9,5.95,278.24,36.66,292.48,4.29,9.61,Drip,167.17,4.15,12.9,124.0
Rice,South,Sandy,Rabi,2022,25.04,166.53,87.24,10.8,6.24,235.16,19.04,288.51,3.23,1.8,Rainfed,217.93,6.18,2.98,5.36
Soybean,West,Clay,Kharif,2021,25.38,32.05,73.58,8.16,7.82,256.05,69.65,187.98,3.02,10.96,Drip,150.87,1.34,0.5,5.48
Potato,East,Silt,Rabi,2021,30.16,141.77,50.65,5.09,5.54,205.18,51.29,148.06,2.47,12.23,Rainfed,137.06,5.14,13.46,164.53
Maize,South,Loamy,Kharif,2015,35.95,70.51,71.1,10.9,8.35,144.12,74.86,173.03,1.66,3.57,Drip,295.01,4.93,1.47,5.25
Sugarcane,North,Clay,Zaid,2022,14.56,27.89,46.44,5.02,5.96,141.65,54.86,95.47,2.06,11.85,Sprinkler,168.49,6.68,5.64,66.87
Wheat,Central,Clay,Kharif,2016,30.36,41.36,42.04,5.35,6.34,153.1,16.21,80.16,2.57,1.66,Drip,141.07,5.03,0.54,0.89
Soybean,West,Clay,Zaid,2018,19.4,226.81,86.04,4.49,6.33,341.86,62.38,96.13,1.44,2.81,Drip,171.13,6.18,2.38,6.7
Rice,West,Peat,Zaid,2023,26.71,82.09,77.37,4.29,6.26,314.0,72.66,177.92,2.89,1.07,Flood,161.85,5.33,1.9,2.03
Cotton,South,Loamy,Kharif,2019,18.95,22.03,56.1,5.69,6.48,135.93,72.34,198.4,3.56,8.28,Rainfed,174.61,0.87,0.5,4.14
Maize,East,Silt,Rabi,2016,13.62,108.39,77.27,7.45,5.88,185.13,35.42,211.48,3.07,2.7,Drip,296.63,6.06,2.75,7.43
Tomato,Central,Peat,Kharif,2016,19.79,40.65,54.25,5.39,8.19,124.07,46.72,152.6,4.92,1.09,Sprinkler,149.46,9.69,4.78,5.23
Cotton,South,Loamy,Kharif,2018,21.1,189.87,52.9,5.37,7.51,378.81,48.97,192.9,1.76,7.84,Flood,96.76,3.24,1.62,12.71
Cotton,South,Silt,Zaid,2019,11.98,32.2,70.53,6.31,7.24,146.31,43.68,183.15,0.73,2.55,Drip,83.6,0.63,0.5,1.28
Cotton,North,Sandy,Rabi,2016,25.38,58.91,80.49,6.04,7.54,328.07,51.69,167.89,2.35,2.65,Drip,282.38,8.31,0.95,2.52
Maize,East,Loamy,Zaid,2018,27.97,298.61,49.06,4.53,7.72,272.34,68.93,84.94,4.08,1.63,Flood,90.91,1.64,3.4,5.53
Soybean,East,Peat,Rabi,2019,20.17,129.42,66.15,6.87,8.13,217.73,67.16,159.78,2.2,3.61,Drip,125.34,7.48,1.74,6.28
Rice,West,Loamy,Kharif,2015,27.62,68.43,67.18,11.25,7.37,135.07,75.79,206.93,2.01,1.25,Flood,248.51,6.2,1.33,1.67
Maize,East,Sandy,Zaid,2022,23.25,244.33,79.43,5.21,6.44,174.55,62.08,58.38,3.06,7.69,Rainfed,269.19,3.42,2.49,19.12
Wheat,North,Clay,Zaid,2017,22.84,179.6,47.5,5.83,7.67,316.01,54.88,223.49,2.94,1.95,Drip,136.42,1.82,3.98,7.77
Sugarcane,Central,Peat,Kharif,2021,17.17,107.56,60.04,7.7,8.34,146.01,51.04,176.47,3.25,0.59,Sprinkler,268.03,9.32,28.93,17.11
Wheat,East,Loamy,Kharif,2020,28.85,142.84,47.63,8.61,7.32,227.24,61.55,283.59,4.67,3.5,Sprinkler,78.31,9.85,3.42,11.97
Soybean,North,Loamy,Zaid,2021,26.79,33.31,86.04,10.96,7.06,277.38,37.93,63.69,2.01,8.62,Sprinkler,51.16,3.33,0.5,4.31
Soybean,South,Sandy,Rabi,2015,31.59,62.52,57.35,9.9,6.86,167.38,41.67,85.21,1.29,3.95,Sprinkler,154.73,9.15,0.54,2.14
Sugarcane,West,Sandy,Rabi,2017,25.59,106.89,71.61,4.1,7.49,153.41,77.27,87.17,2.37,0.95,Drip,299.22,5.02,34.85,32.97
Potato,North,Silt,Kharif,2018,25.11,43.56,84.9,5.64,6.07,110.96,43.04,191.21,0.8,7.97,Rainfed,163.32,5.24,3.76,29.98
Sugarcane,East,Sandy,Kharif,2015,24.81,71.21,67.98,5.24,6.05,358.54,76.23,143.33,1.72,5.66,Sprinkler,152.18,0.25,31.17,176.57
Potato,East,Loamy,Kharif,2019,32.49,22.75,51.1,5.85,7.52,105.91,17.29,249.98,1.3,5.79,Flood,109.55,0.99,2.0,11.55
Potato,Central,Loamy,Kharif,2016,35.17,148.11,82.78,10.64,6.69,300.43,24.35,123.29,4.53,0.57,Flood,71.38,2.08,14.83,8.38
Maize,Central,Loamy,Kharif,2016,27.61,74.72,84.63,10.54,6.53,177.83,36.58,197.57,1.71,5.39,Rainfed,152.35,5.52,1.67,9.03
Sugarcane,East,Silt,Zaid,2023,14.99,54.88,87.42,10.11,5.92,360.54,44.12,273.64,4.1,3.27,Drip,55.62,2.69,23.45,76.64
Potato,Central,Sandy,Rabi,2015,14.21,35.01,81.75,11.88,7.08,151.5,29.06,54.6,4.61,1.13,Rainfed,194.13,2.74,1.65,1.86
Wheat,Central,Peat,Zaid,2018,30.95,125.39,81.49,5.65,5.53,141.07,73.0,268.47,3.19,5.09,Flood,216.26,1.75,2.53,12.86
Potato,North,Loamy,Zaid,2020,10.27,93.17,42.35,5.33,7.71,124.84,52.22,111.34,2.25,2.2,Drip,138.92,7.19,6.26,13.78
Cotton,Central,Loamy,Zaid,2021,14.76,103.56,63.8,9.31,8.31,319.77,25.05,57.8,1.68,5.02,Flood,62.86,4.96,0.75,3.74
Potato,East,Peat,Kharif,2018,34.19,31.27,43.76,9.83,6.99,306.52,40.44,111.6,4.19,8.53,Rainfed,223.67,2.72,3.05,26.02
Potato,South,Peat,Zaid,2019,19.37,64.78,44.58,11.34,5.91,385.07,41.22,96.28,2.94,10.82,Rainfed,233.06,8.07,7.56,81.74
Wheat,East,Loamy,Kharif,2021,31.67,48.72,64.47,5.77,8.46,383.22,12.76,226.39,4.66,1.5,Flood,191.99,9.15,0.68,1.02
Tomato,West,Silt,Zaid,2018,28.67,139.54,54.87,11.4,8.41,383.28,43.19,265.51,4.3,2.42,Rainfed,257.23,0.37,17.21,41.68
Maize,North,Loamy,Zaid,2024,21.52,28.01,74.81,6.72,7.67,119.61,32.07,184.87,4.06,2.42,Flood,206.47,8.86,0.59,1.42
Rice,South,Loamy,Kharif,2018,22.53,46.52,41.22,10.96,5.56,362.41,47.03,284.77,4.09,31.41,Sprinkler,137.68,7.67,1.14,35.84
Wheat,North,Sandy,Rabi,2024,43.39,226.89,89.2,10.15,6.75,226.41,61.63,109.69,1.0,2.69,Drip,121.81,2.96,1.79,4.82
Tomato,West,Peat,Kharif,2021,22.1,24.3,40.89,11.9,6.78,215.3,57.58,104.56,4.77,8.22,Rainfed,72.35,4.18,2.99,24.58
Potato,South,Sandy,Zaid,2015,24.6,115.04,48.35,11.93,6.2,382.82,55.48,201.93,2.81,1.81,Drip,94.13,2.2,20.05,36.31
Potato,South,Sandy,Zaid,2023,30.4,171.22,57.51,4.46,8.41,365.14,74.94,298.73,1.28,3.02,Rainfed,239.56,6.96,12.94,39.11
